Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
20,Exit long,2025-05-02 11:58,Long Exit,20203.5,1,401870,2200,0.55,2200,0.55,-765,-0.19,-1085,-0.11
20,Entry long,2025-05-02 09:56,Long,20093.5,1,401870,2200,0.55,2200,0.55,-765,-0.19,-1085,-0.11
21,Exit long,2025-05-05 11:22,Long Exit,20124,1,401090,1390,0.35,1390,0.35,-910,-0.23,305,0.03
21,Entry long,2025-05-05 09:57,Long,20054.5,1,401090,1390,0.35,1390,0.35,-910,-0.23,305,0.03
22,Exit short,2025-05-07 09:57,Short Exit,19936.5,1,397500,-1230,-0.31,70,0.02,-1230,-0.31,-925,-0.09
22,Entry short,2025-05-07 09:50,Short,19875,1,397500,-1230,-0.31,70,0.02,-1230,-0.31,-925,-0.09
23,Exit short,2025-05-09 09:52,Short Exit,20210.25,1,404810,605,0.15,605,0.15,-90,-0.02,-320,-0.03
23,Entry short,2025-05-09 09:50,Short,20240.5,1,404810,605,0.15,605,0.15,-90,-0.02,-320,-0.03
24,Exit long,2025-05-15 11:04,Long Exit,21359,1,425860,1320,0.31,1320,0.31,-715,-0.17,1000,0.10
24,Entry long,2025-05-15 09:53,Long,21293,1,425860,1320,0.31,1320,0.31,-715,-0.17,1000,0.10
25,Exit long,2025-05-20 14:28,Long Exit,21354.75,1,428445,-1350,-0.32,1040,0.24,-1350,-0.32,-350,-0.03
25,Entry long,2025-05-20 09:54,Long,21422.25,1,428445,-1350,-0.32,1040,0.24,-1350,-0.32,-350,-0.03
26,Exit long,2025-06-03 10:02,Long Exit,21631.75,1,431175,1460,0.34,1460,0.34,-150,-0.03,1110,0.11
26,Entry long,2025-06-03 09:42,Long,21558.75,1,431175,1460,0.34,1460,0.34,-150,-0.03,1110,0.11
27,Exit long,2025-06-10 11:32,Long Exit,21818,1,437195,-835,-0.19,670,0.15,-835,-0.19,275,0.03
27,Entry long,2025-06-10 09:39,Long,21859.75,1,437195,-835,-0.19,670,0.15,-835,-0.19,275,0.03
